"Anyagszám_ID","Gép_ID"
"1","35"
"2","89"
"2","90"
"3","89"
"3","90"
"4","89"
"4","90"
"10","13"
"10","14"
"10","15"
"10","16"
"10","17"
"10","18"
"10","19"
"10","20"
"10","21"
"10","22"
"10","23"
"10","24"
"10","25"
"10","26"
"10","27"
"10","28"
"10","29"
"10","30"
"10","31"
"10","32"
"10","33"
"10","34"
"13","13"
"13","14"
"13","15"
"13","16"
"13","17"
"13","18"
"13","19"
"13","20"
"13","21"
"13","22"
"13","23"
"13","24"
"13","25"
"13","26"
"13","27"
"13","28"
"13","29"
"13","30"
"13","31"
"13","32"
"13","33"
"13","34"
"14","13"
"14","14"
"14","15"
"14","16"
"14","17"
"14","18"
"14","19"
"14","20"
"14","21"
"14","22"
"14","23"
"14","24"
"14","25"
"14","26"
"14","27"
"14","28"
"14","29"
"14","30"
"14","31"
"14","32"
"14","33"
"14","34"
"16","13"
"16","14"
"16","15"
"16","16"
"16","17"
"16","18"
"16","19"
"16","20"
"16","21"
"16","22"
"16","23"
"16","24"
"16","25"
"16","26"
"16","27"
"16","28"
"16","29"
"16","30"
"16","31"
"16","32"
"16","33"
"16","34"
"17","13"
"17","14"
"17","15"
"17","16"
"17","17"
"17","18"
"17","19"
"17","20"
"17","21"
"17","22"
"17","23"
"17","24"
"17","25"
"17","26"
"17","27"
"17","28"
"17","29"
"17","30"
"17","31"
"17","32"
"17","33"
"17","34"
"18","13"
"18","14"
"18","15"
"18","16"
"18","17"
"18","18"
"18","19"
"18","20"
"18","21"
"18","22"
"18","23"
"18","24"
"18","25"
"18","26"
"18","27"
"18","28"
"18","29"
"18","30"
"18","31"
"18","32"
"18","33"
"18","34"
"19","234"
"28","86"
"29","86"
"30","86"
"33","98"
"34","52"
"35","52"
"36","52"
"38","52"
"39","13"
"39","14"
"39","15"
"39","16"
"39","17"
"39","18"
"39","19"
"39","20"
"39","21"
"39","22"
"39","23"
"39","24"
"39","25"
"39","26"
"39","27"
"39","28"
"39","29"
"39","30"
"39","31"
"39","32"
"39","33"
"39","34"
"41","229"
"42","230"
"43","229"
"43","230"
"44","229"
"45","230"
"46","232"
"46","233"
"47","232"
"47","233"
"48","232"
"48","233"
"49","99"
"51","119"
"52","1"
"53","99"
"54","63"
"56","91"
"56","92"
"56","93"
"56","94"
"56","95"
"56","96"
"56","97"
"56","98"
"57","92"
"57","234"
"57","235"
"57","236"
"57","237"
"57","254"
"58","91"
"58","92"
"58","93"
"58","94"
"58","95"
"58","96"
"58","97"
"58","98"
"58","234"
"59","91"
"59","92"
"59","93"
"59","94"
"59","95"
"59","96"
"59","97"
"59","98"
"60","91"
"60","92"
"60","93"
"60","94"
"60","95"
"60","96"
"60","97"
"60","98"
"61","99"
"61","100"
"61","101"
"62","99"
"62","100"
"62","101"
"63","99"
"63","100"
"63","101"
"64","99"
"64","100"
"64","101"
"65","99"
"65","100"
"65","101"
"66","102"
"66","103"
"66","107"
"66","108"
"67","91"
"67","92"
"67","93"
"67","94"
"67","95"
"67","96"
"67","97"
"67","98"
"67","102"
"67","103"
"67","104"
"67","105"
"67","106"
"68","58"
"69","235"
"69","237"
"70","235"
"70","237"
"71","239"
"72","239"
"73","239"
"74","239"
"75","239"
"76","239"
"77","239"
"78","239"
"79","35"
"79","36"
"79","37"
"79","38"
"80","99"
"80","100"
"81","234"
"82","234"
"83","234"
"84","234"
"85","234"
"86","234"
"87","234"
"88","234"
"89","234"
"90","234"
"91","234"
"92","234"
"93","234"
"94","39"
"95","133"
"95","134"
"96","115"
"97","243"
"98","7"
"99","44"
"100","40"
"101","122"
"102","240"
"103","236"
"104","238"
"105","236"
"106","245"
"107","234"
"108","235"
"108","236"
"108","237"
"109","2"
"110","2"
"111","100"
"111","102"
"112","100"
"112","102"
"113","50"
"114","126"
"115","170"
"116","92"
"116","234"
"116","235"
"117","234"
"118","234"
"119","234"
"120","240"
"121","35"
"121","36"
"121","37"
"121","38"
"122","234"
"123","234"
"124","52"
"125","248"
"126","63"
"127","63"
"128","234"
"129","234"
"130","244"
"131","249"
"132","100"
"133","100"
